id,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
161,2020-06-01,14:15:00,1A,600 HARWOOD AV,HOMICIDE,Outside,FIREARM,523.0,NORTHERN,MID-GOVANS,-76.60692686552,39.357626826772,,VEHICLE,,1
162,2020-06-01,21:30:00,1O,0 S GREENE ST,HOMICIDE,Inside,OTHER,121.0,CENTRAL,UNIVERSITY OF MARYLAND,-76.623694842265,39.288377775121,,HOSPITAL,,1
163,2020-06-01,01:08:00,1A,4700 LIBERTY HEIGHTS AV,HOMICIDE,Outside,FIREARM,622.0,NORTHWEST,HOWARD PARK,-76.695758955382,39.331494624342,,STREET,,1
164,2020-05-31,00:00:00,1A,4000 6TH ST,HOMICIDE,Inside,FIREARM,913.0,SOUTHERN,BROOKLYN,-76.603679433283,39.231700973697,,DWELLING,,1
165,2020-05-30,03:18:00,1A,2100 WILKENS AV,HOMICIDE,Outside,FIREARM,834.0,SOUTHWEST,CARROLLTON RIDGE,-76.649274243853,39.281302042782,,VEHICLE,Tri-District,1
166,2020-05-30,17:23:00,1A,1500 PRESSTMAN ST,HOMICIDE,Outside,FIREARM,734.0,WESTERN,SANDTOWN-WINCHESTER,-76.641984111421,39.305500936501,,STREET,,1
167,2020-05-30,04:01:00,1A,300 KEY HWY,HOMICIDE,Outside,FIREARM,112.0,CENTRAL,INNER HARBOR,-76.609814833496,39.280774799297,,PUBLIC AREA,,1
168,2020-05-30,23:31:00,1A,3900 STOKES DR,HOMICIDE,Outside,FIREARM,821.0,SOUTHWEST,GWYNNS FALLS/LEAKIN PARK,-76.681262999906,39.300528499655,,STREET,,1
169,2020-05-29,00:20:00,1A,500 N CURLEY ST,HOMICIDE,Outside,FIREARM,224.0,SOUTHEAST,ELLWOOD PARK/MONUMENT,-76.575857956506,39.297033742897,,STREET,,1
170,2020-05-28,18:20:00,1A,5600 WAYNE AV,HOMICIDE,Outside,FIREARM,622.0,NORTHWEST,HOWARD PARK,-76.710638976335,39.331485424002,,STREET,,1
171,2020-05-28,18:20:00,1A,5600 WAYNE AV,HOMICIDE,Outside,FIREARM,622.0,NORTHWEST,HOWARD PARK,-76.710638976335,39.331485424002,,STREET,,1
172,2020-05-26,01:26:00,1A,2300 PRESBURY ST,HOMICIDE,Outside,FIREARM,723.0,WESTERN,COPPIN HEIGHTS/ASH-CO-EAST,-76.654061924008,39.307706153387,,STREET,Western,1
173,2020-05-25,21:43:00,1A,3200 LIBERTY HEIGHTS AV,HOMICIDE,Outside,FIREARM,625.0,NORTHWEST,ASHBURTON,-76.669537529152,39.323699152474,,STREET,,1
174,2020-05-24,18:59:00,1A,1700 E LAFAYETTE AV,HOMICIDE,Outside,FIREARM,331.0,EASTERN,BROADWAY EAST,-76.59370387627,39.310782992271,,STREET,Eastern 1,1
175,2020-05-24,18:59:00,1A,1700 E LAFAYETTE AV,HOMICIDE,Outside,FIREARM,331.0,EASTERN,BROADWAY EAST,-76.59370387627,39.310782992271,,STREET,Eastern 1,1
176,2020-05-24,14:57:00,1A,3600 BELVEDERE AVE,HOMICIDE,Outside,FIREARM,633.0,NORTHWEST,ARLINGTON,-76.680286705252,39.346206347265,,STREET,,1
177,2020-05-24,20:06:00,1A,5200 FRANKFORD AV,HOMICIDE,Outside,FIREARM,443.0,NORTHEAST,FRANKFORD,-76.540991941299,39.326082164389,,PARKING LOT,,1
178,2020-05-23,21:44:00,1A,300 S Collins Av,HOMICIDE,Outside,FIREARM,824.0,SOUTHWEST,IRVINGTON,-76.683618147077,39.281663482679,,STREET,,1
179,2020-05-23,14:04:00,1A,2100 BAKER ST,HOMICIDE,Inside,FIREARM,735.0,WESTERN,EASTERWOOD,-76.651195893367,39.306553616357,,VACANT DWELLING,Western,1
180,2020-05-23,02:02:00,1A,3500 SPAULDING AV,HOMICIDE,Inside,FIREARM,614.0,NORTHWEST,CENTRAL PARK HEIGHTS,-76.677580629416,39.34645272123,,DWELLING,Northwestern,1
181,2020-05-22,10:33:00,1A,4200 NORFOLK AV,HOMICIDE,Outside,FIREARM,624.0,NORTHWEST,WEST FOREST PARK,-76.688198712726,39.323243895412,,STREET,,1
182,2020-05-21,21:08:00,1A,100 S MORLEY ST,HOMICIDE,Inside,FIREARM,835.0,SOUTHWEST,SAINT JOSEPHS,-76.675906399807,39.285093385178,,DWELLING,,1
183,2020-05-19,14:40:00,1A,2600 E FAYETTE ST,HOMICIDE,Outside,FIREARM,221.0,SOUTHEAST,MCELDERRY PARK,-76.580539914729,39.29454656131,,STREET,,1
184,2020-05-14,00:08:00,1A,100 VIOLET HILL WHITE WY,HOMICIDE,Outside,FIREARM,122.0,CENTRAL,POPPLETON,-76.627945506548,39.290183037716,,STREET,,1
185,2020-05-13,18:32:00,1A,300 E UNIVERSITY PKWY,HOMICIDE,Outside,FIREARM,512.0,NORTHERN,OAKENSHAWE,-76.612695752088,39.329268385618,,ALLEY,,1
186,2020-05-13,21:54:00,1A,400 E 21ST ST,HOMICIDE,Outside,FIREARM,311.0,EASTERN,BARCLAY,-76.610999671179,39.313535994924,,STREET,,1
187,2020-05-12,21:52:00,1A,500 W HOFFMAN ST,HOMICIDE,Outside,FIREARM,123.0,CENTRAL,UPTON,-76.626640423473,39.300382255892,,STREET,Central,1
188,2020-05-10,16:29:00,1A,1400 E COLD SPRING LA,HOMICIDE,Outside,FIREARM,413.0,NORTHEAST,NEW NORTHWOOD,-76.593604468252,39.345872289892,,COMMON BUSINESS,,1
189,2020-05-08,16:31:00,1A,1300 N LAKEWOOD AV,HOMICIDE,Outside,FIREARM,332.0,EASTERN,BEREA,-76.579967400206,39.305987735476,,STREET,Eastern 2,1
190,2020-05-07,23:50:00,1A,2100 AIKEN ST,HOMICIDE,Outside,FIREARM,312.0,EASTERN,EAST BALTIMORE MIDWAY,-76.600653595257,39.313944096058,,STREET,Eastern 1,1
191,2020-05-07,22:44:00,1A,2500 E BIDDLE ST,HOMICIDE,Outside,FIREARM,331.0,EASTERN,BEREA,-76.58259533679,39.304823701273,,PUBLIC AREA,Eastern 2,1
192,2020-05-06,19:33:00,1A,4300 FLOWERTON RD,HOMICIDE,Outside,FIREARM,822.0,SOUTHWEST,ROGNEL HEIGHTS,-76.689636501301,39.297075418695,,VACANT DWELLING,,1
193,2020-05-06,14:13:00,1A,2400 BRIDGEHAMPTON DR,HOMICIDE,Inside,FIREARM,423.0,NORTHEAST,HARFORD-ECHODALE/PERRING PARKWAY,-76.564918379514,39.37033431362,,DWELLING,,1
194,2020-05-06,14:13:00,1A,2400 BRIDGEHAMPTON DR,HOMICIDE,Inside,FIREARM,423.0,NORTHEAST,HARFORD-ECHODALE/PERRING PARKWAY,-76.564918379514,39.37033431362,,DWELLING,,1
195,2020-05-05,10:00:00,1O,1900 W PRATT ST,HOMICIDE,Outside,OTHER,934.0,SOUTHERN,CARROLLTON RIDGE,-76.646834242845,39.285233858596,,STREET,Tri-District,1
196,2020-05-05,16:40:00,1A,4800 CORDELIA AV,HOMICIDE,Outside,FIREARM,613.0,NORTHWEST,LANGSTON HUGHES,-76.678255153305,39.34229956557,,STREET,Northwestern,1
197,2020-05-05,13:51:00,1A,2200 RUSKIN AV,HOMICIDE,Outside,FIREARM,731.0,WESTERN,PARKVIEW/WOODBROOK,-76.648166856804,39.31485640386,,STREET,Western,1
198,2020-05-05,07:38:00,1A,1900 MCHENRY ST,HOMICIDE,Outside,FIREARM,934.0,SOUTHERN,CARROLLTON RIDGE,-76.646785313249,39.284315225699,,ALLEY,Tri-District,1
199,2020-05-04,23:00:00,1A,100 S MONROE ST,HOMICIDE,Outside,FIREARM,934.0,SOUTHERN,CARROLLTON RIDGE,-76.646871020597,39.286100364636,,STREET,Tri-District,1
200,2020-05-03,21:44:00,1A,600 MOUNT HOLLY ST,HOMICIDE,Outside,FIREARM,815.0,SOUTHWEST,EDMONDSON VILLAGE,-76.679837928297,39.29396084855,,PUBLIC AREA,,1
201,2020-05-03,21:44:00,1A,600 MOUNT HOLLY ST,HOMICIDE,Outside,FIREARM,815.0,SOUTHWEST,EDMONDSON VILLAGE,-76.679837928297,39.29396084855,,PUBLIC AREA,,1
202,2020-05-02,09:37:00,1A,3300 GARRISON BLVD,HOMICIDE,Outside,FIREARM,621.0,NORTHWEST,CENTRAL FOREST PARK,-76.682666278459,39.326408679187,,COMMON BUSINESS,,1
203,2020-04-27,12:08:00,1K,2000 BAKER ST,HOMICIDE,Inside,KNIFE,735.0,WESTERN,EASTERWOOD,-76.650565475468,39.306438618031,,DWELLING,Western,1
204,2020-04-27,14:57:00,1A,1300 SHELLBANKS RD,HOMICIDE,Outside,FIREARM,922.0,SOUTHERN,CHERRY HILL,-76.6319028085,39.25055067198,,STREET,,1
205,2020-04-27,23:23:00,1A,5300 SINCLAIR LA,HOMICIDE,Inside,FIREARM,443.0,NORTHEAST,FRANKFORD,-76.541547531237,39.32368869125,,DWELLING,,1
